Observation_number,Date,AwayTeam,HomeTeam,HomeSpread,AwaySpread,absspread,AwayPercOfBets,HomePercOfBets,Bets,roadfav,,,,,,,,,,,,,,,,,,,,,,,
140,2024-11-10,Giants,Panthers,6.5,-6.5,6.5,0.39,0.61,82132,1,,,,,,,,,,,,,,,,,,,,,,,
141,2024-11-10,Patriots,Bears,-6.5,6.5,6.5,0.38,0.62,84843,0,,,,,,,,,,,,,,,,,,,,,,,
142,2024-11-10,Vikings,Jaguars,7,-7,7,0.82,0.18,116231,1,,,,,,,,,,,,,,,,,,,,,,,
143,2024-11-10,Steelers,Commanders,-2,2,2,0.66,0.34,119220,0,,,,,,,,,,,,,,,,,,,,,,,
144,2024-11-10,Bills,Colts,4.5,-4.5,4.5,0.76,0.24,135270,1,,,,,,,,,,,,,,,,,,,,,,,
145,2024-11-10,Broncos,Chiefs,-7,7,7,0.36,0.64,102705,0,,,,,,,,,,,,,,,,,,,,,,,
146,2024-11-10,Falcons,Saints,3.5,-3.5,3.5,0.81,0.19,129918,1,,,,,,,,,,,,,,,,,,,,,,,
147,2024-11-10,49ers,Buccaneers,6.5,-6.5,6.5,0.55,0.45,122133,1,,,,,,,,,,,,,,,,,,,,,,,
148,2024-11-10,Titans,Chargers,-8.5,8.5,8.5,0.2,0.8,103321,0,,,,,,,,,,,,,,,,,,,,,,,
149,2024-11-10,Jets,Cardinals,2,-2,2,0.34,0.66,115953,1,,,,,,,,,,,,,,,,,,,,,,,
150,2024-11-10,Eagles,Cowboys,7.5,-7.5,7.5,0.78,0.22,134285,1,,,,,,,,,,,,,,,,,,,,,,,
151,2024-11-10,Lions,Texans,4,-4,4,0.66,0.34,246473,1,,,,,,,,,,,,,,,,,,,,,,,
152,2024-11-11,Dolphins,Rams,-2.5,2.5,2.5,0.47,0.53,260346,0,,,,,,,,,,,,,,,,,,,,,,,
153,2024-11-14,Commanders,Eagles,-4.5,4.5,4.5,0.44,0.56,284580,0,,,,,,,,,,,,,,,,,,,,,,,
154,2024-11-17,Ravens,Steelers,3,-3,3,0.32,0.68,173074,1,,,,,,,,,,,,,,,,,,,,,,,
155,2024-11-17,Vikings,Titans,6,-6,6,0.84,0.16,103407,1,,,,,,,,,,,,,,,,,,,,,,,
