Player,Season,Cap,cap_pct,Rk,Team,Cap.Hit,Salary,Signed.Using,Guaranteed,player_season,tag.y,Pos,Age,G,MP,PER,TS,X3PAr,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP
Jerryd Bayless,2017,94143000,0.1001,113,PHI,9424084,9000000,Cap Space,27000000,bayleje01_2017,bayleje01,PG,28,3,71,8.7,0.453,0.156,0.313,4.6,14,9.3,29.4,0,0,19.8,27.7,-0.1,0,-0.1,-0.067,-2.1,-2.4,-4.4,0
Jerryd Bayless,2018,99093000,0.0908,135,PHI,9000000,8575916,Cap Space,17575916,bayleje01_2018,bayleje01,SG,29,39,925,7.5,0.546,0.557,0.168,1.8,7.3,4.7,8,1.2,0.5,14.1,15.1,0.2,0.9,1.1,0.055,-2.7,-0.2,-2.8,-0.2
Jerryd Bayless,2019,101869000,0.0842,151,MIN,8575916,,Cap Space,8575916,bayleje01_2019,bayleje01,PG,30,34,657,8.5,0.431,0.426,0.122,1.8,8.4,5,24.6,1.3,0.3,11.7,17.6,-0.2,0.2,0,-0.003,-2.9,-1.7,-4.6,-0.4
Jevon Carter,2019,101869000,0.0082,457,MEM,838464,1416852,MInimum Salary,2255316,carteje01_2019,carteje01,PG,23,39,577,7.8,0.432,0.551,0.173,2.7,10.3,6.4,17.4,2.2,1.8,14.2,18,-0.7,0.7,0,-0.003,-4.1,0.1,-4,-0.3
Jevon Carter,2020,109140000,0.013,416,PHO,1416852,,MInimum Salary,1416852,carteje01_2020,carteje01,PG,24,58,945,11.3,0.563,0.601,0.111,3.5,10.5,6.9,11.9,2.4,1.6,11.2,12.9,0.8,1,1.8,0.093,-0.7,1.3,0.6,0.6
Jevon Carter,2021,109140000,0.0325,256,PHO,3549383,3833333,Early Bird,11500000,carteje01_2021,carteje01,PG,25,60,717,12.2,0.548,0.677,0.031,2.6,11.8,7.3,13,2,1.1,6.6,15,0.7,0.8,1.6,0.104,-0.6,1.1,0.5,0.5
Jimmer Fredette,2013,58044000,0.0403,258,SAC,2339040,2339040,1st Round Pick,4832880,fredeji01_2013,fredeji01,SG,23,69,967,14.6,0.546,0.381,0.242,2.2,6.4,4.2,15.9,1.6,0.2,13.1,23.9,1.1,-0.1,1.1,0.052,1.1,-2.5,-1.3,0.2
Jimmer Fredette,2014,58679000,0.0416,245,SAC,2439840,2439840,1st Round Pick,2493840,fredeji01_2014,fredeji01,SG,24,49,519,15.8,0.578,0.37,0.093,1.7,9.7,5.7,22.2,1.4,0.5,16.9,24.3,0.5,0.3,0.8,0.078,2,-1.5,0.6,0.3
Jimmer Fredette,2015,63065000,0.015,387,NOP,948163,,Minimum Salary,948163,fredeji01_2015,fredeji01,PG,25,50,509,9.8,0.479,0.289,0.271,1.8,7.1,4.5,17.2,1.5,0.3,15.1,19.6,0,0.2,0.2,0.021,-3.6,-1.2,-4.7,-0.4
Jimmer Fredette,2016,70000000,0.0073,468,SAS,507711,,,562523,fredeji01_2016,fredeji01,SG,26,6,18,12,0.625,0.4,1,0,0,0,7.7,2.8,0,21.7,22.8,0,0,0,0,-2.3,-0.3,-2.6,0
Jimmer Fredette,2016,70000000,8.00E-04,493,NOP,54812,,,54812,fredeji01_2016,fredeji01,SG,26,6,18,12,0.625,0.4,1,0,0,0,7.7,2.8,0,21.7,22.8,0,0,0,0,-2.3,-0.3,-2.6,0
Jimmy Butler,2013,58044000,0.0184,358,CHI,1066920,1066920,1st Round Pick,2179800,butleji01_2013,butleji01,SF,23,82,2134,15.2,0.574,0.205,0.455,7.2,10.4,8.8,8.6,2,1.1,9.2,14.6,4.4,2.6,7,0.158,1,1,2,2.1
Jimmy Butler,2014,58679000,0.019,341,CHI,1112880,1112880,1st Round Pick,3121628,butleji01_2014,butleji01,SG,24,67,2591,13.5,0.522,0.346,0.488,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,2.4,4.6,7.1,0.131,-0.9,2,1.1,2
Jimmy Butler,2015,63065000,0.0319,282,CHI,2008748,,1st Round Pick,2008748,butleji01_2015,butleji01,SG,25,65,2513,21.3,0.583,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,8.2,3,11.2,0.214,3.4,1.2,4.6,4.2
