vsc,hsc,line,total,mov,combsc,thur,mon,oct,nov,dec,late,rating,Division,OT,number,Penalties,sumwin
19,28,1,43.5,9,47,0,0,0,1,0,0,72,1,0,1849,9,1
31,17,3,44,14,48,0,0,0,0,0,0,63,0,0,1830,15,0.875
7,31,10.5,39.5,24,38,0,0,0,0,1,1,59,0,0,1822,5,0.923076923
10,20,12,44,10,30,0,0,0,0,1,0,49,0,0,1786,13,1
7,16,12,39,9,23,0,0,0,1,0,0,48,1,0,1779,14,0.8
44,24,9,38,20,68,0,0,0,0,0,1,60,0,0,1773,10,0.8
3,48,14,40,45,51,0,0,0,0,1,0,66,0,0,1759,9,0.666666667
27,3,3,46,24,30,0,0,1,0,0,1,49,1,0,1753,13,0.9
24,22,6.5,1,2,46,0,0,0,1,0,0,72,0,0,1747,9,1
33,7,3,42,26,40,0,0,0,0,0,1,69,0,0,1643,11,1.333333333
31,24,4,47.5,7,55,0,0,0,0,0,0,71,1,0,1629,10,0.8125
10,7,5,36.5,3,17,0,0,0,0,1,0,47,0,0,1590,10,1
34,13,2,37.5,21,47,0,0,0,0,1,1,53,0,0,1562,21,0.5
17,20,13,46,3,37,0,0,0,1,0,0,80,1,0,1512,11,0.6
10,23,9.5,40.5,13,33,0,0,0,0,0,0,51,1,0,1491,7,1.333333333
20,23,9.5,42,3,43,0,0,1,0,0,0,64,0,0,1447,9,0.4
9,23,3,37,14,32,0,0,0,0,1,0,47,0,0,1439,19,0.571428571
21,28,6,51,7,49,0,0,1,0,0,1,76,0,0,1432,13,1.0625
20,31,4.5,47,11,51,0,0,0,1,0,1,72,1,0,1419,20,1
15,18,8.5,41,3,33,0,0,0,1,0,0,68,0,0,1411,12,0.888888889
6,17,3,41,11,23,0,0,0,1,0,0,43,0,0,1356,8,0.8
17,20,1,41.5,3,37,0,0,0,0,1,1,61,1,0,1348,12,0.818181818
20,32,11,42,12,52,0,0,0,1,0,1,57,0,0,1343,15,0.428571429
27,20,1.5,47,7,47,0,0,0,0,1,0,63,0,0,1338,7,1
7,47,13.5,40,40,54,0,0,0,0,1,1,60,0,0,1283,14,0.5
20,23,3,39,3,43,0,0,0,0,0,1,66,0,0,1273,5,1
13,23,14,42,10,36,0,0,0,0,1,0,52,0,0,1250,16,0.909090909
9,17,9,41,8,26,0,0,0,0,1,0,36,0,0,1245,10,0.454545455
21,13,9,46.5,8,34,0,0,0,1,0,1,59,1,0,1225,13,0.777777778
21,24,7,41.5,3,45,0,0,0,1,0,0,58,0,0,1217,6,0.571428571
10,17,13,39,7,27,0,0,0,0,1,0,65,0,0,1164,12,0.857142857
24,7,7,39,17,31,0,0,0,0,1,1,57,0,0,1161,12,0.461538462
6,16,3,40,10,22,0,0,0,0,1,0,48,1,0,1095,10,0.454545455
31,24,14,47,7,55,0,0,0,0,1,0,64,0,0,1080,15,0.769230769
21,13,10,39,8,34,0,0,0,0,0,1,57,0,0,1062,10,0.866666667
27,17,3.5,42.5,10,44,0,0,0,1,0,0,48,1,0,1031,11,0.4
3,31,8,40.5,28,34,0,0,0,0,1,0,56,0,0,1014,16,0.857142857
0,37,9.5,33.5,37,37,0,0,0,0,0,0,59,0,0,1001,11,1.2
6,20,14,41,14,26,0,0,0,0,1,1,59,0,0,998,5,0.571428571
26,3,3.5,36.5,23,29,0,0,0,0,1,0,39,0,0,986,12,0.583333333
16,13,14,43,3,29,0,0,0,0,1,0,45,0,0,913,7,0.538461538
18,23,1.5,48,5,41,0,0,0,0,1,0,67,1,0,895,10,1
37,23,4.5,44,14,60,0,0,0,0,0,0,66,1,0,864,11,0.533333333
10,31,16.5,44.5,21,41,0,0,0,0,1,1,64,1,0,852,7,0.714285714
16,10,2.5,38,6,26,0,0,0,0,1,0,39,0,0,839,8,0.583333333
28,6,7,40,22,34,0,0,0,0,0,0,55,1,0,817,13,0.533333333
7,34,7,44.5,27,41,0,0,0,0,1,0,54,0,0,734,11,0.833333333
20,10,3,42,10,30,0,0,0,0,0,0,75,1,0,716,8,0.733333333
17,13,6,45,4,30,0,0,0,0,0,1,74,0,0,693,14,0.8
17,23,1.5,35,6,40,0,0,0,0,0,0,67,0,0,631,6,0.733333333
