fga,fg_pct,fga3,fg3_pct,fta,ft_pct,orb,drb,ast,stl,blk,tov,opp_fga,opp_fg_pct,opp_fga3,opp_fg3_pct,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_ast,opp_stl,opp_blk,opp_tov,win
61,42.6,20,35,25,72,13,34,11,3,3,10,59,30.5,31,32.3,16,81.3,6,26,13,6,8,10,TRUE
58,32.8,26,23.1,16,93.8,9,18,9,9,2,10,52,36.5,18,27.8,31,77.4,18,31,8,5,2,16,FALSE
70,34.3,23,21.7,19,63.2,19,21,12,9,5,7,59,44.1,29,31,16,87.5,14,30,16,2,6,13,FALSE
67,46.3,30,36.7,30,70,14,33,19,5,7,9,66,37.9,22,31.8,24,70.8,11,26,14,5,2,10,TRUE
56,44.6,19,31.6,17,70.6,13,27,12,3,4,14,56,39.3,21,38.1,13,69.2,6,20,9,10,4,9,TRUE
50,46,26,30.8,29,79.3,7,21,12,6,1,6,50,50,21,33.3,19,78.9,7,22,11,1,4,12,TRUE
61,39.3,26,34.6,23,82.6,15,26,12,4,1,14,54,37,31,35.5,29,82.8,8,26,15,10,5,10,TRUE
62,40.3,29,31,37,91.9,18,28,19,5,2,9,60,48.3,31,45.2,23,56.5,8,17,17,5,3,10,TRUE
44,27.3,14,21.4,28,75,8,26,8,7,5,13,52,42.3,26,38.5,9,88.9,5,29,18,6,6,14,FALSE
54,55.6,17,52.9,17,70.6,11,30,17,3,5,8,56,37.5,17,29.4,7,57.1,6,15,7,4,3,7,TRUE
61,36.1,21,28.6,24,66.7,8,30,12,6,4,4,67,32.8,24,20.8,13,76.9,17,36,10,3,1,14,TRUE
54,48.1,13,23.1,30,76.7,11,26,9,4,9,16,59,40.7,19,47.4,21,76.2,11,19,7,9,1,12,TRUE
52,32.7,23,34.8,16,75,15,20,10,9,1,23,57,54.4,19,21.1,18,72.2,11,21,13,15,5,14,FALSE
41,58.5,16,56.3,20,80,1,24,14,9,1,10,44,38.6,19,31.6,13,69.2,5,19,12,6,2,15,TRUE
63,57.1,17,35.3,14,64.3,12,33,18,10,4,16,63,34.9,24,25,12,58.3,11,18,11,11,3,16,TRUE
57,47.4,22,36.4,22,77.3,5,31,15,9,4,11,63,41.3,33,39.4,24,66.7,11,28,19,5,3,13,FALSE
63,47.6,22,9.1,15,86.7,12,37,12,1,3,9,62,38.7,26,34.6,14,28.6,7,23,13,7,0,6,TRUE
61,50.8,25,32,20,55,12,23,19,4,3,9,66,48.5,17,17.6,15,73.3,14,23,20,5,6,8,TRUE
57,33.3,25,32,11,63.6,14,19,8,9,4,10,51,54.9,25,72,11,45.5,7,28,21,7,8,11,FALSE
58,41.4,22,31.8,26,61.5,10,33,10,3,7,15,71,39.4,23,30.4,12,58.3,11,30,8,3,1,9,TRUE
58,37.9,36,27.8,22,86.4,8,24,12,6,1,7,53,41.5,27,29.6,15,80,7,30,11,3,0,14,TRUE
70,34.3,36,33.3,10,60,7,28,11,6,7,8,76,42.1,22,31.8,13,61.5,20,40,22,5,2,11,FALSE
63,42.9,24,33.3,18,77.8,14,24,14,8,0,9,48,43.8,25,36,23,52.2,9,26,13,4,1,15,TRUE
55,36.4,25,28,20,75,10,28,12,5,2,9,54,44.4,12,25,18,72.2,7,27,9,4,5,9,FALSE
69,31.9,35,22.9,11,81.8,16,20,12,5,5,8,43,58.1,5,20,20,60,3,32,17,5,7,16,FALSE
59,49.2,26,53.8,13,92.3,6,27,19,2,0,8,59,45.8,29,20.7,14,71.4,6,24,17,5,4,8,TRUE
56,33.9,24,20.8,30,80,18,27,13,11,5,15,48,37.5,19,31.6,17,76.5,6,24,8,8,4,18,TRUE
61,26.2,17,17.6,29,75.9,16,29,4,4,0,8,56,42.9,21,28.6,21,52.4,11,33,11,6,6,9,FALSE
58,37.9,22,36.4,8,50,11,26,14,6,2,9,52,32.7,26,34.6,15,66.7,10,28,15,0,5,10,TRUE
60,26.7,19,15.8,16,75,11,25,8,5,5,12,73,39.7,26,34.6,6,100,19,37,16,8,5,12,FALSE
57,40.4,28,42.9,21,71.4,11,20,13,7,6,4,56,41.1,25,36,17,76.5,14,26,7,2,3,10,TRUE
74,40.5,31,38.7,13,53.8,14,34,16,5,8,10,73,34.2,32,25,17,70.6,16,32,15,5,7,12,TRUE
53,50.9,16,43.8,25,72,8,23,12,7,3,12,57,47.4,16,43.8,16,62.5,10,22,10,4,2,15,TRUE
60,51.7,20,35,7,28.6,8,20,16,4,5,6,57,47.4,14,57.1,23,69.6,13,24,16,3,5,7,FALSE
59,35.6,25,24,29,75.9,16,19,12,4,4,9,55,47.3,14,35.7,32,71.9,15,27,8,5,7,11,FALSE
56,41.1,21,28.6,9,77.8,7,27,10,4,3,8,62,35.5,23,39.1,8,62.5,14,28,13,3,3,12,TRUE
54,50,27,40.7,7,85.7,8,28,17,4,3,10,56,33.9,29,27.6,14,71.4,10,20,10,3,0,8,TRUE
66,39.4,29,31,15,93.3,15,35,14,2,6,6,67,26.9,27,11.1,18,77.8,14,24,6,3,1,3,TRUE
53,43.4,27,44.4,21,71.4,13,23,14,11,6,13,55,32.7,23,43.5,16,81.3,15,19,9,9,2,14,TRUE
48,52.1,21,47.6,22,72.7,5,28,18,7,1,9,49,38.8,20,15,25,60,8,21,6,3,3,9,TRUE
57,38.6,31,38.7,11,81.8,11,32,14,5,3,17,59,44.1,19,21.1,13,53.8,6,24,11,7,3,9,TRUE
65,46.2,20,35,21,76.2,9,35,16,5,4,9,66,40.9,36,30.6,8,62.5,6,29,18,2,2,11,TRUE
54,53.7,23,30.4,28,67.9,13,25,16,14,4,18,52,48.1,21,42.9,22,59.1,9,18,7,8,3,17,TRUE
53,41.5,24,20.8,13,76.9,7,13,8,5,2,8,46,56.5,16,37.5,15,73.3,9,26,10,3,3,13,FALSE
73,39.7,27,14.8,15,73.3,16,28,13,5,0,8,65,47.7,20,25,13,53.8,10,29,15,6,6,12,FALSE
55,49.1,14,14.3,21,81,10,29,11,8,6,13,63,31.7,20,40,16,93.8,12,21,8,5,5,12,TRUE
64,42.2,18,22.2,25,72,15,31,17,3,4,16,58,43.1,25,36,18,83.3,5,25,13,12,2,13,TRUE
59,40.7,21,33.3,20,65,11,24,12,4,6,10,56,44.6,29,44.8,19,84.2,8,29,14,4,3,12,FALSE
56,53.6,24,45.8,24,75,6,29,13,6,5,11,62,41.9,21,28.6,18,61.1,10,25,13,4,0,12,TRUE
58,46.6,15,26.7,17,70.6,12,23,14,5,2,14,61,50.8,20,35,17,64.7,11,19,20,8,7,11,FALSE
73,41.1,25,36,11,63.6,15,28,13,9,2,15,51,52.9,22,54.5,32,56.3,5,30,16,7,7,15,FALSE
55,41.8,32,34.4,18,88.9,5,19,14,8,1,6,53,52.8,20,40,6,66.7,8,28,17,3,2,18,TRUE
61,50.8,30,36.7,17,64.7,9,23,14,12,3,9,51,45.1,27,25.9,24,66.7,8,26,12,5,2,15,TRUE
70,41.4,34,32.4,33,75.8,18,29,23,5,4,17,67,52.2,27,40.7,25,64,7,25,23,15,4,11,FALSE
58,34.5,25,24,25,52,17,24,11,6,3,12,51,45.1,22,31.8,15,80,7,29,8,8,2,16,FALSE
63,42.9,29,34.5,10,60,7,33,15,5,1,12,54,31.5,14,7.1,26,65.4,7,28,4,3,3,14,TRUE
55,54.5,14,42.9,14,64.3,4,29,20,7,5,16,63,44.4,27,25.9,13,84.6,8,24,15,8,2,11,TRUE
54,44.4,32,37.5,22,72.7,9,30,14,5,2,10,61,42.6,35,37.1,8,75,5,23,17,6,2,8,TRUE
60,46.7,13,23.1,28,78.6,11,25,13,4,3,4,58,43.1,27,37,18,83.3,9,23,19,2,3,7,TRUE
65,50.8,33,51.5,26,80.8,6,21,15,5,1,9,59,55.9,28,57.1,30,80,8,29,12,2,6,14,FALSE
47,51.1,18,27.8,37,62.2,9,32,15,4,3,16,67,38.8,20,25,22,81.8,12,23,9,6,1,8,TRUE
75,45.3,29,31,28,67.9,17,33,21,5,8,17,78,42.3,24,33.3,21,76.2,15,30,26,10,4,15,TRUE
54,40.7,23,26.1,24,83.3,12,23,14,8,6,20,64,42.2,19,31.6,9,66.7,11,23,13,9,4,17,TRUE
65,47.7,19,26.3,6,66.7,6,28,10,3,7,11,65,44.6,12,33.3,28,60.7,14,29,7,6,2,9,FALSE
56,39.3,28,25,25,76,17,23,16,4,6,10,55,47.3,22,40.9,12,66.7,9,20,16,4,2,11,TRUE
62,45.2,35,40,9,88.9,8,22,23,7,2,12,58,53.4,27,44.4,19,84.2,7,27,20,8,2,10,FALSE
58,41.4,20,35,26,65.4,10,24,14,9,5,14,55,41.8,16,31.3,12,100,8,31,10,7,2,22,TRUE
52,42.3,18,55.6,22,77.3,8,25,13,7,3,14,57,47.4,20,35,18,72.2,7,23,12,3,6,12,FALSE
65,47.7,16,43.8,18,66.7,14,28,13,6,1,9,60,43.3,35,31.4,4,75,7,24,19,5,4,13,TRUE
64,40.6,21,33.3,16,62.5,11,19,14,7,2,9,60,58.3,28,46.4,4,100,6,31,18,5,3,13,FALSE
60,50,34,44.1,16,62.5,13,26,21,4,2,10,64,43.8,18,33.3,20,65,15,19,16,5,1,7,TRUE
61,45.9,25,44,20,65,9,31,13,4,2,13,63,38.1,24,29.2,20,80,8,28,8,6,5,10,TRUE
