date,AwayTeam,HomeTeam,Away_bestodds,Home_bestodds,pct_bet_home,pct_bet_away,Total,O_bestodds,U_bestodds,pct_bet_over,pct_bet_under,TotalResult,Volume,AwaySP,HomeSP,AwayScore,HomeScore
4/10/2024,CHC,SD,-154,142,0.27,0.73,8.5,-106,100,0.78,0.22,Over,22815,K. Hendricks,D. Cease,2,10
4/10/2024,MIA,NYY,-104,-106,0.84,0.16,8.5,-110,-105,0,0,Under,39172,R. Weathers,M. Stroman,5,2
4/10/2024,BAL,BOS,158,168,0.29,0.71,9,-110,-104,0.62,0.38,Over,31140,C. Irvin,K. Crawford,7,5
4/10/2024,HOU,KC,138,-150,0.78,0.22,9.5,-105,-110,0.94,0.06,Over,24102,S. Arrighetti,S. Lugo,2,11
4/10/2024,OAK,TEX,-114,112,0.82,0.18,9,-109,-108,0.5,0.5,Under,33281,R. Stripling,C. Bradford,2,6
4/11/2024,NYM,ATL,150,-164,0.68,0.32,10,-102,100,0.82,0.18,Over,29338,J. Quintana,A. Winans,16,4
4/11/2024,HOU,KC,-125,118,0.45,0.55,8.5,-110,100,0.5,0.5,Over,37471,H. Brown,B. Singer,3,13
4/11/2024,OAK,TEX,180,-190,0.81,0.19,9.5,100,-112,0.76,0.24,Under,31741,J. Sears,Jon. Gray,1,0
4/11/2024,PIT,PHI,122,-130,0.34,0.66,9.5,-120,105,0.5,0.5,Under,36774,J. Jones,R. Suarez,1,5
4/11/2024,BAL,BOS,-125,112,0.32,0.68,8,100,-110,0.33,0.67,Over,42000,G. Rodriguez,G. Whitlock,9,4
4/12/2024,PIT,PHI,140,-160,0.7,0.3,9.5,100,110,0.74,0.26,Under,23814,B. Falter,C. Sanchez,5,2
4/12/2024,MIN,DET,105,-115,0.51,0.49,7,100,-102,0.46,0.54,Over,35300,P. Lopez,T. Skubal,2,8
4/12/2024,SF,TB,-103,-108,0.67,0.33,8.5,-105,-105,0.89,0.11,Under,10556,K. Winn,J. Waguespack,1,2
4/12/2024,MIL,BAL,-115,110,0.33,0.67,8.5,-103,105,0.76,0.24,Over,25334,F. Peralta,T. Wells,11,1
4/12/2024,COL,TOR,210,-230,0.83,0.17,8,-104,-104,0.83,0.17,Over,22613,R. Feltner,K. Gausman,12,4
4/12/2024,ATL,MIA,-198,180,0.03,0.97,8.5,102,100,0.79,0.21,Over,35613,M. Fried,Tr. Rogers,8,1
4/12/2024,LAA,BOS,102,-115,0.69,0.31,9,-103,-105,0.65,0.35,Under,22224,R. Detmers,T. Houck,7,0
4/12/2024,KC,NYM,123,-135,0.53,0.47,8.5,-105,-105,0.73,0.27,Under,34174,M. Wacha,L. Severino,1,6
4/12/2024,CIN,CHW,-162,150,0.06,0.94,9,100,105,0.86,0.14,Over,24567,A. Abbott,C. Flexen,11,1
4/12/2024,TEX,HOU,110,-120,0.52,0.48,9,100,-105,0.81,0.19,Over,27071,D. Dunning,J. France,12,8
4/12/2024,WAS,OAK,115,-130,0.67,0.33,8,-105,-110,0.4,0.6,Under,17922,J. Irvin,P. Blackburn,1,2
